public_reference,mileage,reg_code,standard_colour,standard_make,standard_model,vehicle_condition,year_of_registration,price,body_type,crossover_car_and_van,fuel_type
2.02009E+14,60000,59,Black,Citroen,C1,USED,2009,1995,Hatchback,FALSE,Petrol
2.02009E+14,84000,58,Black,Renault,Clio,USED,2008,1499,Hatchback,FALSE,Petrol
2.02009E+14,50411,67,Blue,Toyota,RAV4,USED,2017,13490,SUV,FALSE,Diesel
2.02009E+14,50146,15,Grey,Audi,Q3,USED,2015,16000,SUV,FALSE,Diesel
2.02009E+14,43000,64,White,Abarth,595C,USED,2014,10490,Convertible,FALSE,Petrol
2.02009E+14,41338,61,Silver,Volkswagen,Polo,USED,2011,7000,Hatchback,FALSE,Petrol
2.02009E+14,27375,67,Grey,Mercedes-Benz,S Class,USED,2018,52000,Coupe,FALSE,Petrol
2.02009E+14,22764,17,Blue,Nissan,Qashqai,USED,2017,11069,Hatchback,FALSE,Diesel
2.02009E+14,71994,61,Black,Vauxhall,Astra,USED,2011,2395,Hatchback,FALSE,Petrol
2.02009E+14,19119,19,Grey,Hyundai,Santa Fe,USED,2019,28392,SUV,FALSE,Diesel
2.02009E+14,40000,14,Red,Fiat,500,USED,2014,4999,Hatchback,FALSE,Petrol
2.02009E+14,50179,16,Blue,Porsche,Boxster,USED,2016,33992,Convertible,FALSE,Petrol
2.02009E+14,20422,18,Orange,Honda,Jazz,USED,2018,12991,Hatchback,FALSE,Petrol
2.02009E+14,5000,19,Red,SKODA,Fabia,USED,2019,14288,Estate,FALSE,Petrol
2.02009E+14,15264,17,White,Jaguar,XF,USED,2017,18725,Saloon,FALSE,Diesel
2.02009E+14,33446,18,White,Land Rover,Discovery Sport,USED,2018,24250,SUV,FALSE,Diesel
2.02009E+14,58000,11,Yellow,Vauxhall,Corsa,USED,2011,3495,Hatchback,FALSE,Petrol
2.02009E+14,28411,19,Black,Mercedes-Benz,E Class,USED,2019,26455,Saloon,FALSE,Diesel
2.02009E+14,22000,66,White,Mazda,CX-5,USED,2017,13995,SUV,FALSE,Petrol
2.02009E+14,2000,20,Turquoise,Volkswagen,T-Cross,USED,2020,18795,SUV,FALSE,Petrol
2.02009E+14,52000,16,Gold,Volvo,XC60,USED,2016,13490,SUV,FALSE,Diesel
2.02009E+14,143000,58,Red,Land Rover,Freelander 2,USED,2008,3390,SUV,FALSE,Diesel
2.02009E+14,42819,16,Silver,BMW,4 Series,USED,2016,17499,Convertible,FALSE,Petrol
2.02009E+14,35000,16,Black,Hyundai,i30,USED,2016,8282,Hatchback,FALSE,Petrol
2.02009E+14,76640,13,Grey,Vauxhall,Mokka,USED,2013,5511,Hatchback,FALSE,Petrol
2.02009E+14,4792,67,Grey,Vauxhall,Mokka X,USED,2017,12795,SUV,FALSE,Petrol
2.02009E+14,49755,16,Blue,Mercedes-Benz,GLA Class,USED,2016,16795,SUV,FALSE,Diesel
2.02009E+14,28066,17,Grey,Honda,CR-V,USED,2017,15999,SUV,FALSE,Diesel
2.02009E+14,22000,18,White,Volkswagen,Golf,USED,2018,22779,Hatchback,FALSE,Petrol
2.02009E+14,11606,17,Orange,Vauxhall,Mokka X,USED,2017,12000,SUV,FALSE,Petrol
2.02009E+14,90600,61,Silver,Mercedes-Benz,GL Class,USED,2011,13985,SUV,FALSE,Diesel
2.02009E+14,102929,59,Blue,Toyota,Avensis,USED,2009,3795,Saloon,FALSE,Petrol
2.02009E+14,5162,69,Blue,BMW,4 Series,USED,2019,29000,Coupe,FALSE,Diesel
2.02009E+14,9066,69,Blue,BMW,5 Series,USED,2019,24495,Saloon,FALSE,Petrol
2.02009E+14,6642,20,Grey,Volkswagen,Golf,USED,2020,19495,Hatchback,FALSE,Petrol
2.02009E+14,30503,68,Grey,Land Rover,Range Rover Evoque,USED,2018,27990,SUV,FALSE,Diesel
2.02009E+14,3083,20,Red,Mazda,Mazda3,USED,2020,20780,Hatchback,FALSE,Petrol
2.02009E+14,1250,70,Blue,Mercedes-Benz,GLE Class,USED,2020,60995,SUV,FALSE,Diesel
2.02009E+14,90000,62,Silver,Kia,Venga,USED,2012,2600,Hatchback,FALSE,Diesel
2.02009E+14,84638,13,Black,Mercedes-Benz,C Class,USED,2013,11698,Estate,FALSE,Diesel
2.02009E+14,8000,19,White,Audi,A5,USED,2019,27944,Hatchback,FALSE,Petrol
2.02009E+14,59000,14,Black,Toyota,Prius+,USED,2014,10495,MPV,FALSE,Petrol Hybrid
2.02009E+14,60000,64,Blue,Peugeot,3008,USED,2014,6995,SUV,FALSE,Diesel
2.02009E+14,151580,8,Black,Audi,TT,USED,2008,3490,Coupe,FALSE,Petrol
2.02009E+14,16439,19,Black,Mercedes-Benz,A Class,USED,2019,15989,Hatchback,FALSE,Diesel
2.02009E+14,10,,White,Mitsubishi,Mirage,NEW,,14615,Hatchback,FALSE,Petrol
2.02009E+14,10000,68,Silver,Nissan,Qashqai,USED,2018,18495,SUV,FALSE,Diesel
2.02009E+14,8316,19,Blue,Renault,Kadjar,USED,2019,15690,SUV,FALSE,Petrol
2.02009E+14,48000,64,Blue,Citroen,C1,USED,2014,4495,Hatchback,FALSE,Petrol
2.0201E+14,80584,62,Green,BMW,5 Series,USED,2012,9999,Saloon,FALSE,Petrol
2.0201E+14,25000,67,Black,Mitsubishi,Outlander,USED,2017,19995,SUV,FALSE,Petrol Plug-in Hybrid
2.0201E+14,50,70,Blue,Suzuki,Swift,USED,2020,10950,Hatchback,FALSE,Petrol Hybrid
2.0201E+14,9003,67,White,Renault,Clio,USED,2017,8595,Hatchback,FALSE,Petrol
2.0201E+14,10,70,Silver,Nissan,X-Trail,USED,2020,26795,SUV,FALSE,Diesel
2.0201E+14,60000,64,Brown,Land Rover,Range Rover,USED,2015,31990,SUV,FALSE,Diesel
2.0201E+14,15000,19,Purple,Citroen,C4 Cactus,USED,2019,11995,Hatchback,FALSE,Petrol
2.0201E+14,45000,65,Brown,Land Rover,Range Rover Sport,USED,2016,30994,SUV,FALSE,Diesel
2.0201E+14,27000,18,White,Volkswagen,Golf,USED,2018,23995,Estate,FALSE,Petrol
2.0201E+14,18000,18,Black,Land Rover,Range Rover Sport,USED,2018,97500,SUV,FALSE,Petrol
2.0201E+14,25712,65,White,DS AUTOMOBILES,DS 3,USED,2015,6250,Hatchback,FALSE,Petrol
2.0201E+14,872,19,Blue,Audi,TTS,USED,2019,37980,Coupe,FALSE,Petrol
2.0201E+14,48504,67,Grey,Mercedes-Benz,E Class,USED,2017,17208,Saloon,FALSE,Diesel
2.0201E+14,5937,17,Silver,MINI,Hatch,USED,2017,11980,Hatchback,FALSE,Diesel
2.0201E+14,65058,66,Black,Mitsubishi,Outlander,USED,2016,15990,SUV,FALSE,Petrol Plug-in Hybrid
2.0201E+14,24841,18,White,Kia,Sorento,USED,2018,24371,SUV,FALSE,Diesel
2.0201E+14,13739,69,Silver,Mercedes-Benz,S Class,USED,2019,89995,Saloon,FALSE,Petrol
2.0201E+14,124000,16,Red,Land Rover,Discovery Sport,USED,2016,13989,SUV,FALSE,Diesel
2.0201E+14,1,,White,BMW,X3,NEW,,41980,SUV,FALSE,Diesel Hybrid
2.0201E+14,10,70,White,Nissan,Qashqai,USED,2020,24995,SUV,FALSE,Diesel
2.0201E+14,11538,19,Grey,Vauxhall,Corsa,USED,2019,9075,Hatchback,FALSE,Petrol
2.0201E+14,135000,11,Black,Volkswagen,Golf,USED,2011,3599,Estate,FALSE,Diesel
2.0201E+14,150000,56,Silver,Audi,A4,USED,2006,1100,Saloon,FALSE,Diesel
2.0201E+14,50,70,Silver,Porsche,Cayenne,USED,2020,69795,SUV,FALSE,Petrol
2.0201E+14,31131,66,Grey,Volvo,XC90,USED,2016,32995,SUV,FALSE,Diesel
2.0201E+14,15806,68,White,Volkswagen,Golf,USED,2018,18700,Hatchback,FALSE,Petrol
2.0201E+14,46430,14,Blue,Volkswagen,Polo,USED,2014,6695,Hatchback,FALSE,Petrol
2.0201E+14,1810,69,White,Kia,Ceed,USED,2019,15499,Hatchback,FALSE,Diesel
2.0201E+14,12700,67,Blue,Renault,Captur,USED,2017,11495,SUV,FALSE,Petrol
2.0201E+14,10,,White,Audi,A3,NEW,,28255,Saloon,FALSE,Petrol
2.0201E+14,25000,65,Black,Peugeot,208,USED,2016,6995,Hatchback,FALSE,Petrol
2.0201E+14,10,70,White,Mazda,Mazda3,USED,2020,23290,Hatchback,FALSE,Petrol
2.0201E+14,33847,18,Black,Audi,A3,USED,2018,18075,Saloon,FALSE,Petrol
2.0201E+14,26000,15,Grey,Hyundai,ix35,USED,2015,8499,SUV,FALSE,Petrol
2.0201E+14,5000,20,Red,Jaguar,E-PACE,USED,2020,31900,SUV,FALSE,Diesel
2.0201E+14,55520,64,White,Kia,Sportage,USED,2014,9900,SUV,FALSE,Petrol
2.0201E+14,15992,67,Red,Citroen,C1,USED,2017,7495,Hatchback,FALSE,Petrol
2.0201E+14,50000,16,Red,Kia,Sportage,USED,2016,13485,SUV,FALSE,Diesel
2.0201E+14,4598,69,Silver,BMW,X3,USED,2019,33980,SUV,FALSE,Diesel
2.0201E+14,34741,17,Red,Nissan,Juke,USED,2017,9275,SUV,FALSE,Diesel
2.0201E+14,39406,17,Black,Land Rover,Range Rover Evoque,USED,2017,20000,SUV,FALSE,Diesel
2.0201E+14,40551,16,Silver,Land Rover,Discovery Sport,USED,2016,22499,SUV,FALSE,Diesel
2.0201E+14,80000,67,Black,Mercedes-Benz,E Class,USED,2017,23489,Coupe,FALSE,Diesel
2.0201E+14,28786,16,Grey,Mercedes-Benz,C Class,USED,2016,19451,Saloon,FALSE,Diesel
2.0201E+14,34100,17,Silver,Toyota,C-HR,USED,2017,12879,SUV,FALSE,Petrol
2.0201E+14,99000,9,Silver,Toyota,Corolla Verso,USED,2009,3250,MPV,FALSE,Petrol
2.0201E+14,32608,16,Grey,Audi,A6 Allroad,USED,2016,21800,Estate,FALSE,Diesel
2.0201E+14,47079,63,Grey,BMW,5 Series,USED,2013,13500,Saloon,FALSE,Diesel
2.0201E+14,37721,16,Blue,Toyota,Yaris,USED,2016,10795,Hatchback,FALSE,Petrol Hybrid
2.0201E+14,10,,Grey,Audi,A5 Cabriolet,NEW,,39845,Convertible,FALSE,Petrol
2.0201E+14,58000,62,White,Land Rover,Range Rover Evoque,USED,2012,14995,SUV,FALSE,Diesel
2.0201E+14,85850,8,Blue,Vauxhall,Corsa,USED,2008,1899,Hatchback,FALSE,Petrol
2.0201E+14,41227,15,Blue,Audi,A1,USED,2015,11799,Hatchback,FALSE,Petrol
2.0201E+14,5,,White,Suzuki,Ignis,NEW,,15964,Hatchback,FALSE,Petrol Hybrid
2.0201E+14,38976,63,Red,MINI,Countryman,USED,2013,7995,SUV,FALSE,Petrol
2.0201E+14,15382,18,Blue,Hyundai,Santa Fe,USED,2018,20000,SUV,FALSE,Diesel
2.0201E+14,52044,63,Black,Mercedes-Benz,E Class,USED,2013,13450,Estate,FALSE,Diesel Hybrid
2.0201E+14,23000,68,White,Mercedes-Benz,GLA Class,USED,2018,19295,SUV,FALSE,Petrol
2.0201E+14,41000,62,Black,Mercedes-Benz,C Class,USED,2012,9999,Estate,FALSE,Diesel
2.0201E+14,33410,18,Black,SEAT,Leon,USED,2018,12039,Hatchback,FALSE,Petrol
2.0201E+14,58472,63,Blue,Renault,Clio,USED,2013,5495,Hatchback,FALSE,Petrol
2.0201E+14,45000,14,White,Toyota,AYGO,USED,2014,4485,Hatchback,FALSE,Petrol
2.0201E+14,0,,Silver,Audi,Q3,NEW,,41101,SUV,FALSE,Diesel
2.0201E+14,196000,66,Black,Toyota,Avensis,USED,2016,4989,Estate,FALSE,Diesel
2.0201E+14,26890,67,Black,Jaguar,XF,USED,2017,16330,Saloon,FALSE,Diesel
2.0201E+14,34080,66,Black,Mercedes-Benz,GLA Class,USED,2016,18500,SUV,FALSE,Diesel
2.0201E+14,44000,14,Black,Hyundai,ix35,USED,2014,7995,SUV,FALSE,Diesel
2.0201E+14,18660,16,Blue,Honda,Jazz,USED,2016,9250,Hatchback,FALSE,Petrol
2.0201E+14,28739,18,Black,Peugeot,208,USED,2018,9296,Hatchback,FALSE,Petrol
2.0201E+14,12490,19,Red,Mazda,CX-5,USED,2019,22075,SUV,FALSE,Petrol
2.0201E+14,33670,66,White,Kia,Sportage,USED,2016,10495,SUV,FALSE,Diesel
2.0201E+14,4385,20,Grey,BMW,3 Series,USED,2020,28000,Saloon,FALSE,Petrol
2.0201E+14,63262,13,White,Audi,A1,USED,2013,9000,Hatchback,FALSE,Diesel
2.0201E+14,24000,66,Blue,Mercedes-Benz,A Class,USED,2017,16647,Hatchback,FALSE,Petrol
2.0201E+14,20319,17,White,BMW,3 Series,USED,2017,17974,Saloon,FALSE,Diesel
2.0201E+14,1008,20,White,MG,MG ZS,USED,2020,20000,SUV,FALSE,Electric
2.0201E+14,80000,3,Green,Vauxhall,Zafira,USED,2003,1980,MPV,FALSE,Petrol
2.0201E+14,56756,17,Black,BMW,3 Series,USED,2017,14750,Saloon,FALSE,Diesel
